date,open,high,low,close,volume,SMA_short,SMA_long,RSI,Signal
2018-08-03,12572.6103515625,12644.51953125,12561.6201171875,12615.759765625,79345300,12578.902490234375,12644.71734375,49.08109439838866,0
2018-08-06,12631.400390625,12715.7802734375,12538.349609375,12598.2099609375,65599400,12582.674287109376,12642.896145833334,48.38606091720986,0
2018-08-07,12656.8701171875,12738.5302734375,12646.16015625,12648.1904296875,87114600,12586.7787890625,12640.696015625,50.53442209600012,0
2018-08-08,12622.98046875,12704.580078125,12586.23046875,12633.5400390625,89371000,12589.65859375,12637.133684895833,49.87904392141828,0
2018-08-09,12623.1396484375,12696.51953125,12577.33984375,12676.1103515625,71701900,12592.523896484376,12632.843489583332,51.833786160153394,0
2018-08-10,12574.2001953125,12585.830078125,12390.400390625,12424.349609375,0,12594.597197265624,12626.553951822916,41.52047122712812,0
2018-08-13,12346.75,12396.8603515625,12323.2001953125,12358.740234375,92773600,12595.111298828126,12619.708287760417,39.324574300487484,0
2018-08-14,12444.6298828125,12461.8203125,12294.900390625,12358.8701171875,82021800,12595.60849609375,12613.558489583333,39.33141474007663,0
2018-08-15,12400.26953125,12428.5595703125,12120.650390625,12163.009765625,99703000,12596.23779296875,12606.625885416666,33.24481635094168,0
2018-08-16,12202.1298828125,12251.400390625,12168.919921875,12237.169921875,81469900,12599.746396484376,12599.90681640625,37.207175924693054,0
2018-08-17,12242.0595703125,12244.669921875,12135.6396484375,12210.5498046875,86038300,12603.979296875,12593.307083333333,36.37259738215796,1
2018-08-20,12263.009765625,12373.3603515625,12245.5595703125,12331.2998046875,59670900,12607.583994140625,12587.206881510416,42.655940823298124,0
2018-08-21,12320.5595703125,12432.66015625,12316.349609375,12384.490234375,68597400,12612.021796875,12581.877083333333,45.22209680084474,0
2018-08-22,12355.5302734375,12438.66015625,12345.3203125,12385.7001953125,77192800,12614.911494140624,12575.905553385417,45.28208236039823,0
2018-08-23,12367.48046875,12411.009765625,12353.5498046875,12365.580078125,63669000,12618.54279296875,12568.779752604167,44.41116427651943,0
2018-08-24,12396.6904296875,12444.349609375,12344.4501953125,12394.51953125,59051400,12622.908984375,12561.651946614584,46.01934037341262,0
