date,action,price,amount,shares,commission
2018-01-02,buy,6511.33984375,100,0.015350147187209813,0.04997501249375313
2018-02-01,buy,6901.5,100,0.014482362528074512,0.04997501249375312
2018-03-01,buy,6750.5400390625,100,0.014806226525453967,0.04997501249375313
2018-04-02,buy,6390.83984375,100,0.015639575929172065,0.049975012493753135
2018-05-01,buy,6681.9599609375,100,0.014958189748488547,0.04997501249375313
2018-06-01,buy,7083.93017578125,100,0.01410940290309726,0.04997501249375313
2018-07-02,buy,7097.81982421875,100,0.01408179236199584,0.04997501249375313
2018-08-01,buy,7272.89013671875,100,0.013742820681820431,0.04997501249375313
2018-09-04,buy,7622.31982421875,100,0.013112809130618004,0.04997501249375312
2018-10-01,buy,7645.4501953125,100,0.013073137936178904,0.04997501249375313
2018-11-01,buy,7069.169921875,100,0.014138862991285387,0.04997501249375313
2018-12-03,buy,7062.1298828125,100,0.01415295762695617,0.04997501249375313
2019-01-02,buy,6360.8701171875,100,0.01571326298857047,0.04997501249375313
2019-02-01,buy,6875.52001953125,100,0.014537085879115877,0.04997501249375313
2019-03-01,buy,7151.56982421875,100,0.013975955971096873,0.04997501249375313
2019-04-01,buy,7478.419921875,100,0.013365126060271652,0.04997501249375313
2019-05-01,buy,7751.85009765625,100,0.012893699404446155,0.04997501249375313
2019-06-03,buy,6978.02001953125,100,0.014323550908101352,0.04997501249375313
2019-07-01,buy,7768.14013671875,100,0.012866660903175337,0.04997501249375313
2019-08-01,buy,7801.14990234375,100,0.0128122169473346,0.04997501249375313
2019-09-03,buy,7609.509765625,100,0.013134883595132223,0.04997501249375313
2019-10-01,buy,7684.14013671875,100,0.013007314183391051,0.04997501249375313
2019-11-01,buy,8161.169921875,100,0.012247021682467689,0.04997501249375313
2019-12-02,buy,8309.259765625,100,0.012028751995574214,0.04997501249375312
2020-01-02,buy,8872.2197265625,100,0.011265503793629717,0.04997501249375313
2020-02-03,buy,9126.23046875,100,0.010951950570364698,0.04997501249375313
2020-03-02,buy,8877.98046875,100,0.011258193835785607,0.049975012493753135
2020-04-01,buy,7486.2900390625,100,0.013351075695168082,0.04997501249375313
2020-05-01,buy,8718.1796875,100,0.01146455207052146,0.04997501249375313
2020-06-01,buy,9598.8896484375,100,0.010412665281944983,0.04997501249375312
2020-07-01,buy,10279.25,100,0.009723474474062431,0.04997501249375312
2020-08-03,buy,11055.080078125,100,0.00904109461724119,0.04997501249375313
2020-09-01,buy,12292.8603515625,100,0.00813073785344043,0.04997501249375313
2020-10-01,buy,11583.2001953125,100,0.008628878315334144,0.04997501249375313
2020-11-02,buy,11084.759765625,100,0.009016886888019146,0.04997501249375312
2020-12-01,buy,12455.330078125,100,0.008024678941511643,0.04997501249375313
2021-01-04,buy,12694.66015625,100,0.007873391154807525,0.049975012493753135
2021-02-01,buy,13248.900390625,100,0.007544024186205783,0.04997501249375313
2021-03-01,buy,13282.9501953125,100,0.007524685669812887,0.04997501249375313
2021-04-01,buy,13329.51953125,100,0.007498396679128707,0.04997501249375312
2021-05-03,buy,13799.7197265625,100,0.007242902534833128,0.04997501249375313
2021-06-01,buy,13654.58984375,100,0.00731988482490051,0.04997501249375313
2021-07-01,buy,14560.0498046875,100,0.006864676036707518,0.049975012493753135
2021-08-02,buy,14963.6201171875,100,0.006679535045981403,0.04997501249375313
2021-09-01,buy,15611.5703125,100,0.006402304379814851,0.04997501249375313
2021-10-01,buy,14791.8701171875,100,0.006757091848134113,0.04997501249375312
2021-11-01,buy,15905.2802734375,100,0.006284078197252963,0.04997501249375312
2021-12-01,buy,15877.7197265625,100,0.0062949861005731,0.04997501249375313
2022-01-03,buy,16501.76953125,100,0.0060569277008885175,0.04997501249375313
2022-02-01,buy,15019.6796875,100,0.006654604296967052,0.04997501249375313
